1	29.5	36.4	54.3
1.5	20.1	26.4	35.9
1	29.5	36.4	54.3
2.5	56.8	66.3	110.2
1	29.5	36.4	54.3
3.5	46.4	54.6	82.3
1	29.5	36.4	54.3
4.5	4.1	7.6	13.4
1	29.5	36.4	54.3
5.5	22.0	26.2	31.7
1	29.5	36.4	54.3
6.5	71.6	84.0	150.5
1	29.5	36.4	54.3
7.5	16.7	22.5	39.1
1	29.5	36.4	54.3
8.5	131.9	150.1	291.1
1	29.5	36.4	54.3
9.5	3.6	7.6	13.0
1	29.5	36.4	54.3
10.5	4.1	7.5	13.0
1	29.5	36.4	54.3
11.5	4.2	7.6	13.6
1	29.5	36.4	54.3
12.5	438.2	503.6	686.1
1	29.5	36.4	54.3
13.5	399.1	495.5	683.4
1	29.5	36.4	54.3
14.5	389.9	492.6	619.4
1	29.5	36.4	54.3
15.5	461.0	529.1	736.5
1	29.5	36.4	54.3
16.5	325.8	411.8	658.3
1	29.5	36.4	54.3
17.5	4.1	7.6	12.8
1	29.5	36.4	54.3
18.5	347.7	436.3	614.3
1	29.5	36.4	54.3
19.5	369.7	458.0	709.6
1	29.5	36.4	54.3
20.5	4.3	7.8	14.0
1	29.5	36.4	54.3
21.5	772.4	876.8	1109.2
1	29.5	36.4	54.3
22.5	909.0	1029.1	1394.9
1	29.5	36.4	54.3
23.5	917.0	1034.7	1293.1
1	29.5	36.4	54.3
24.5	926.5	1040.9	1237.8
1	29.5	36.4	54.3
25.5	933.8	1048.1	1315.9
1	29.5	36.4	54.3
26.5	817.8	942.8	1192.8
1	29.5	36.4	54.3
27.5	910.4	1005.1	1183.8
1	29.5	36.4	54.3
28.5	4.4	7.4	12.8
1	29.5	36.4	54.3
29.5	4.1	7.4	12.7
1	29.5	36.4	54.3
30.5	52.0	60.2	115.2
1	29.5	36.4	54.3
31.5	22.3	29.5	44.9
1	29.5	36.4	54.3
32.5	4.1	7.5	12.9
1	29.5	36.4	54.3
33.5	23.5	29.5	47.4
1	29.5	36.4	54.3
34.5	13.3	18.7	26.3
1	29.5	36.4	54.3
35.5	4.2	7.6	12.8
1	29.5	36.4	54.3
36.5	28.6	36.0	61.8
1	29.5	36.4	54.3
37.5	16.6	21.7	30.4
1	29.5	36.4	54.3
38.5	4.2	7.6	12.8
1	29.5	36.4	54.3
39.5	4.2	7.5	12.8
1	29.5	36.4	54.3
40.5	4.5	7.6	13.5
1	29.5	36.4	54.3
41.5	4.2	7.5	12.6
1	29.5	36.4	54.3
42.5	4.0	7.5	13.1
1	29.5	36.4	54.3
43.5	4.3	7.4	13.1
1	29.5	36.4	54.3
44.5	3.5	7.6	13.1
1	29.5	36.4	54.3
45.5	4.2	7.4	12.8
1	29.5	36.4	54.3
46.5	4.6	7.7	12.7
1	29.5	36.4	54.3
47.5	78.7	88.9	131.5
1	29.5	36.4	54.3
48.5	75.2	88.8	172.2
1	29.5	36.4	54.3
49.5	3.6	7.5	12.7
1	29.5	36.4	54.3
50.5	4.7	7.7	13.1
1	29.5	36.4	54.3
51.5	71.6	84.2	288.4
1	29.5	36.4	54.3
52.5	4.1	7.8	13.4
1	29.5	36.4	54.3
53.5	4.3	7.6	13.2
1	29.5	36.4	54.3
54.5	147.7	205.1	437.8
1	29.5	36.4	54.3
55.5	3.8	7.7	13.1
1	29.5	36.4	54.3
56.5	4.5	7.8	13.3
1	29.5	36.4	54.3
57.5	76.8	86.2	147.1
1	29.5	36.4	54.3
58.5	72.2	93.5	123.6
1	29.5	36.4	54.3
59.5	4.3	7.5	12.5
2	76.0	86.5	128.9
1.5	20.1	26.4	35.9
2	76.0	86.5	128.9
2.5	56.8	66.3	110.2
2	76.0	86.5	128.9
3.5	46.4	54.6	82.3
2	76.0	86.5	128.9
4.5	4.1	7.6	13.4
2	76.0	86.5	128.9
5.5	22.0	26.2	31.7
2	76.0	86.5	128.9
6.5	71.6	84.0	150.5
2	76.0	86.5	128.9
7.5	16.7	22.5	39.1
2	76.0	86.5	128.9
8.5	131.9	150.1	291.1
2	76.0	86.5	128.9
9.5	3.6	7.6	13.0
